GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	Astrocytes_ceoff	Astrocytes_ELBO_gain	Astrocytes_pval	Astrocytes_FDR	Cajal Retzius_ceoff	Cajal Retzius_ELBO_gain	Cajal Retzius_pval	Cajal Retzius_FDR	Cck-Tox_ceoff	Cck-Tox_ELBO_gain	Cck-Tox_pval	Cck-Tox_FDR	Endothelial_ceoff	Endothelial_ELBO_gain	Endothelial_pval	Endothelial_FDR	GABA_ceoff	GABA_ELBO_gain	GABA_pval	GABA_FDR	Granule immature_ceoff	Granule immature_ELBO_gain	Granule immature_pval	Granule immature_FDR	Granule mature_ceoff	Granule mature_ELBO_gain	Granule mature_pval	Granule mature_FDR	Microglia_ceoff	Microglia_ELBO_gain	Microglia_pval	Microglia_FDR	Mossy_ceoff	Mossy_ELBO_gain	Mossy_pval	Mossy_FDR	Neuroblast_ceoff	Neuroblast_ELBO_gain	Neuroblast_pval	Neuroblast_FDR	OL_ceoff	OL_ELBO_gain	OL_pval	OL_FDR	OPC_ceoff	OPC_ELBO_gain	OPC_pval	OPC_FDR	Radial Glia-like_ceoff	Radial Glia-like_ELBO_gain	Radial Glia-like_pval	Radial Glia-like_FDR	nIPC_ceoff	nIPC_ELBO_gain	nIPC_pval	nIPC_FDR
Dst	998	998	2.304e-01	2.490e+00	9.731e-01	-5.904e-02	2.622e+00	2.203e-02	3.165e-01	2.679e+00	1.894e+00	5.163e-02	7.376e-01	2.869e+00	5.804e-01	2.813e-01	8.590e-01	-1.580e-01	1.458e+00	8.766e-02	4.542e-01	-3.030e-01	1.201e+00	1.212e-01	5.790e-01	5.791e-01	4.092e-02	7.748e-01	9.532e-01	3.280e-02	2.222e-01	5.050e-01	6.904e-01	-2.500e-02	1.002e+00	1.569e-01	6.967e-01	3.108e+00	1.759e+00	6.070e-02	4.132e-01	6.710e-01	2.709e+00	1.993e-02	1.216e-01	-6.734e-01	4.879e-01	3.232e-01	8.172e-01	-3.788e-01	9.066e-01	1.781e-01	7.243e-01	-1.047e+00	1.236e+00	1.159e-01	7.434e-01	2.592e+00	7.876e-01	2.095e-01	8.743e-01
Arhgef4	1003	1003	2.485e-01	2.104e+00	7.359e-01	9.343e+00	1.126e+01	2.089e-06	7.144e-04	-2.496e+00	-1.243e-01	1.000e+00	1.000e+00	2.021e+00	-1.175e-01	1.000e+00	1.000e+00	2.105e+00	-2.242e-01	1.000e+00	1.000e+00	-1.081e+00	6.421e-01	2.571e-01	6.514e-01	1.650e+00	8.140e-01	2.020e-01	5.621e-01	-4.352e-01	7.122e+00	1.606e-04	3.922e-03	1.411e+00	-4.105e-01	1.000e+00	1.000e+00	-1.997e+00	-3.172e-01	1.000e+00	1.000e+00	4.909e-01	5.188e-01	3.084e-01	5.405e-01	6.430e-01	-5.089e-01	1.000e+00	1.000e+00	-2.322e+00	-2.124e-01	1.000e+00	1.000e+00	2.088e+00	3.013e+00	1.410e-02	6.028e-01	-3.561e+00	2.400e-02	8.266e-01	1.000e+00
Hs6st1	363	363	8.294e-02	1.585e+00	9.693e-01	-3.908e-01	2.808e-01	4.536e-01	7.955e-01	3.342e+00	3.381e-01	4.109e-01	8.880e-01	3.506e+00	-5.099e-02	1.000e+00	1.000e+00	3.543e+00	-3.329e-01	1.000e+00	1.000e+00	-6.678e-01	4.061e-01	3.675e-01	7.100e-01	7.001e-01	1.186e+00	1.235e-01	4.620e-01	-4.920e-01	6.399e-01	2.579e-01	5.282e-01	4.176e-01	2.394e-01	4.890e-01	8.489e-01	4.945e-02	2.867e+00	1.663e-02	2.495e-01	1.360e+00	1.290e+00	1.083e-01	3.138e-01	-6.465e-01	6.406e-01	2.577e-01	7.663e-01	3.497e+00	7.501e-01	2.206e-01	7.243e-01	3.515e+00	1.483e+00	8.499e-02	7.434e-01	-6.400e+00	2.434e-01	4.854e-01	9.526e-01
Cox5b	1985	1985	4.171e-01	3.618e+00	3.330e-01	-2.671e+00	2.153e-01	5.117e-01	8.373e-01	-1.445e-01	1.042e-01	6.481e-01	9.513e-01	1.573e+00	1.284e-01	6.123e-01	9.949e-01	1.523e+00	9.383e-01	1.707e-01	5.113e-01	1.872e+00	1.308e+00	1.058e-01	5.790e-01	8.461e-01	1.831e-01	5.450e-01	7.703e-01	-1.842e-01	1.554e-01	5.772e-01	7.205e-01	7.933e-03	8.493e-02	6.802e-01	9.562e-01	1.014e+00	1.893e+00	5.170e-02	4.018e-01	-8.704e-01	-1.046e-01	1.000e+00	1.000e+00	5.292e-02	-2.631e-02	1.000e+00	1.000e+00	1.340e+00	7.962e-02	6.899e-01	9.749e-01	1.257e+00	-1.480e-01	1.000e+00	1.000e+00	1.268e+00	2.313e-01	4.964e-01	9.526e-01
Mrpl30	2448	2448	5.082e-01	4.138e+00	1.662e-01	5.589e-01	5.118e-02	7.490e-01	9.731e-01	5.480e-01	7.924e-02	6.906e-01	9.624e-01	6.755e-01	1.462e-01	5.887e-01	9.821e-01	9.960e-01	1.148e+00	1.297e-01	5.113e-01	-1.244e+00	-6.033e-02	1.000e+00	1.000e+00	-3.434e-02	1.274e+00	1.104e-01	4.620e-01	-5.371e-01	3.914e-01	3.763e-01	5.869e-01	3.198e-01	7.004e-03	9.058e-01	1.000e+00	4.663e-01	3.274e-01	4.184e-01	6.983e-01	5.078e-01	1.611e+00	7.264e-02	2.436e-01	8.871e-01	-1.923e-02	1.000e+00	1.000e+00	5.748e-01	6.052e-02	7.279e-01	1.000e+00	6.268e-01	1.846e+00	5.464e-02	7.065e-01	-1.743e+00	-3.362e-01	1.000e+00	1.000e+00
Eif5b	2021	2021	4.222e-01	2.832e+00	9.606e-01	1.720e+00	2.152e+00	3.801e-02	3.939e-01	-1.213e+00	7.617e-01	2.171e-01	8.735e-01	2.503e+00	3.088e+00	1.295e-02	7.384e-01	-1.869e+00	5.854e-01	2.792e-01	6.121e-01	1.183e+00	-4.034e-01	1.000e+00	1.000e+00	-1.991e-01	-3.612e-01	1.000e+00	1.000e+00	1.214e-01	-4.463e-01	1.000e+00	1.000e+00	4.835e-04	1.201e+00	1.212e-01	6.885e-01	2.439e+00	4.541e+00	2.581e-03	8.444e-02	-1.423e+00	9.893e-01	1.595e-01	3.850e-01	5.184e-01	1.244e-01	6.179e-01	9.601e-01	-9.932e-01	3.209e-01	4.231e-01	7.994e-01	-1.053e+00	7.327e-02	7.019e-01	1.000e+00	2.111e+00	6.583e-01	2.512e-01	8.743e-01
Rpl31	3688	3688	6.352e-01	3.817e+00	1.645e-01	-1.328e+00	8.026e-02	6.887e-01	9.309e-01	-3.751e-01	8.279e-02	6.841e-01	9.624e-01	1.074e+00	1.709e-03	9.534e-01	1.000e+00	1.393e+00	1.140e-01	6.330e-01	8.326e-01	-2.420e-01	2.493e+00	2.556e-02	4.163e-01	-9.216e-01	-4.712e-02	1.000e+00	1.000e+00	1.050e-01	7.431e-02	6.999e-01	8.282e-01	-5.980e-02	6.797e-01	2.437e-01	7.593e-01	1.298e+00	1.782e-02	8.503e-01	9.958e-01	-4.973e-02	4.269e-01	3.555e-01	5.652e-01	2.216e-01	7.083e-02	7.066e-01	1.000e+00	1.171e+00	1.269e-01	6.144e-01	9.057e-01	1.234e+00	-1.920e-02	1.000e+00	1.000e+00	-2.765e-01	1.393e-01	5.976e-01	9.732e-01
Map4k4	481	481	1.089e-01	1.743e+00	8.684e-01	-1.858e+00	1.523e+00	8.098e-02	5.129e-01	-9.167e-01	1.958e-01	5.314e-01	9.096e-01	3.261e+00	8.843e-01	1.836e-01	8.590e-01	3.887e+00	6.084e-01	2.700e-01	6.072e-01	3.248e-01	4.392e-01	3.487e-01	7.100e-01	-4.724e-01	4.124e-01	3.638e-01	6.974e-01	2.583e-01	1.068e-02	8.838e-01	9.976e-01	1.395e-01	5.858e-01	2.791e-01	7.593e-01	-6.841e-01	6.487e-01	2.547e-01	6.411e-01	2.013e-01	7.523e-02	6.981e-01	8.261e-01	-1.784e-01	8.043e-01	2.047e-01	7.344e-01	7.029e-01	1.150e+00	1.294e-01	7.243e-01	-1.314e+00	1.151e-01	6.313e-01	9.906e-01	-7.689e-01	4.547e-01	3.403e-01	9.102e-01
Mrps9	659	659	1.805e-01	2.500e+00	5.836e-01	1.491e+00	-7.452e-02	1.000e+00	1.000e+00	3.237e-01	-4.752e-02	1.000e+00	1.000e+00	2.445e+00	2.990e-01	4.394e-01	9.156e-01	1.890e+00	3.849e-01	3.803e-01	6.801e-01	2.103e+00	4.535e-02	7.633e-01	9.562e-01	3.967e-01	2.210e+00	3.550e-02	2.824e-01	-7.384e-01	1.214e-01	6.221e-01	7.572e-01	2.883e-01	1.342e-01	6.044e-01	9.062e-01	1.522e+00	1.380e+00	9.665e-02	4.656e-01	2.575e+00	-1.255e-01	1.000e+00	1.000e+00	1.721e-02	3.216e-01	4.226e-01	8.420e-01	2.617e+00	-2.905e-02	1.000e+00	1.000e+00	2.133e+00	1.267e-01	6.147e-01	9.906e-01	2.515e+00	-7.617e-02	1.000e+00	1.000e+00
Tpp2	346	346	8.055e-02	8.677e-01	1.340e+00	5.522e+00	1.214e+00	1.192e-01	5.339e-01	-3.710e-01	8.015e-01	2.055e-01	8.572e-01	-1.107e+00	3.746e+00	6.194e-03	7.384e-01	-6.965e+00	1.697e+00	6.545e-02	3.943e-01	1.096e+00	3.437e+00	8.748e-03	2.299e-01	-1.863e+00	8.004e-01	2.058e-01	5.621e-01	-2.758e-01	8.400e-01	1.949e-01	4.695e-01	4.350e-01	1.152e+00	1.290e-01	6.885e-01	4.275e+00	1.233e+00	1.163e-01	4.849e-01	1.107e+00	1.346e+00	1.008e-01	2.972e-01	4.995e-01	1.822e+00	5.624e-02	6.241e-01	-6.645e+00	4.569e-01	3.391e-01	7.511e-01	5.155e-01	6.037e-01	2.718e-01	8.437e-01	-1.281e+00	1.223e+00	1.179e-01	8.743e-01
Tmeff2	3035	3035	3.611e-01	9.268e-02	4.905e-01	2.311e+00	1.274e+00	1.104e-01	5.297e-01	-1.963e-01	4.697e-01	3.324e-01	8.880e-01	-5.074e-01	6.641e-01	2.491e-01	8.590e-01	-4.923e-01	1.934e+00	4.924e-02	3.658e-01	3.728e+00	1.037e+00	1.498e-01	5.889e-01	1.936e-02	2.449e+00	2.687e-02	2.553e-01	-1.637e-01	3.868e+00	5.411e-03	5.452e-02	-2.495e-01	-1.104e-01	1.000e+00	1.000e+00	-2.405e-01	1.334e+00	1.023e-01	4.729e-01	2.361e-01	3.243e+00	1.088e-02	8.780e-02	4.038e-01	9.434e+00	1.401e-05	1.198e-03	6.167e-01	9.026e-01	1.791e-01	7.243e-01	4.366e-01	1.214e+00	1.192e-01	7.434e-01	4.371e-01	-4.448e-01	1.000e+00	1.000e+00
Hspe1	4616	4616	6.925e-01	4.312e+00	1.741e-01	-1.157e+00	2.384e+00	2.901e-02	3.568e-01	-1.274e+00	2.778e-01	4.561e-01	8.888e-01	1.214e+00	1.177e-01	6.275e-01	1.000e+00	7.732e-01	8.133e-01	2.022e-01	5.402e-01	-7.959e-01	8.912e-01	1.819e-01	6.140e-01	-5.609e-01	1.891e+00	5.178e-02	3.234e-01	5.753e-01	1.035e+00	1.503e-01	4.363e-01	-3.500e-01	3.641e-02	7.873e-01	1.000e+00	7.134e-01	9.124e-01	1.767e-01	5.926e-01	-6.021e-01	2.588e+00	2.290e-02	1.305e-01	7.392e-01	4.651e-02	7.604e-01	1.000e+00	7.768e-01	7.843e-03	9.003e-01	1.000e+00	-4.881e-01	1.146e+00	1.301e-01	7.434e-01	-1.126e+00	2.190e-01	5.081e-01	9.526e-01
Gm10561	71	71	1.195e-02	7.288e-01	2.422e-01	3.424e-01	2.118e-02	8.370e-01	1.000e+00	4.232e-02	1.202e-01	6.239e-01	9.414e-01	-1.210e+00	-8.202e-04	1.000e+00	1.000e+00	-5.315e-01	3.871e-01	3.790e-01	6.801e-01	2.769e+00	4.926e-01	3.209e-01	7.027e-01	-1.027e+00	2.427e-01	4.860e-01	7.397e-01	9.263e-01	8.802e-02	6.748e-01	8.041e-01	-3.424e-01	2.761e-02	8.142e-01	1.000e+00	-1.054e+00	1.435e-01	5.922e-01	7.849e-01	-2.899e-01	3.121e-01	4.295e-01	6.331e-01	1.617e+00	3.267e-01	4.189e-01	8.420e-01	3.019e+00	-1.476e-03	1.000e+00	1.000e+00	-3.952e-01	-5.203e-02	1.000e+00	1.000e+00	-1.352e-02	2.006e-01	5.265e-01	9.538e-01
Plcl1	1759	1759	4.642e-02	-2.274e+00	3.052e-01	-1.228e+00	5.516e-01	2.936e-01	6.765e-01	7.217e-01	2.978e-01	4.403e-01	8.888e-01	4.001e-01	-1.873e-01	1.000e+00	1.000e+00	-1.811e+00	4.969e-01	3.188e-01	6.529e-01	-2.639e-01	1.336e+00	1.021e-01	5.790e-01	1.500e+00	2.946e+00	1.521e-02	1.812e-01	-4.305e-01	9.040e-01	1.788e-01	4.627e-01	2.209e-01	2.589e-01	4.718e-01	8.366e-01	-5.113e-01	1.075e+00	1.426e-01	5.187e-01	8.409e-01	1.239e-01	6.186e-01	7.583e-01	-2.826e-01	1.041e+00	1.490e-01	7.344e-01	4.710e-01	9.349e-01	1.715e-01	7.243e-01	-2.649e+00	1.778e-01	5.510e-01	9.689e-01	4.585e-01	2.678e-01	4.643e-01	9.526e-01
Bzw1	403	403	1.031e-01	7.700e-01	3.223e-01	8.601e+00	2.412e-01	4.873e-01	8.130e-01	3.842e-01	2.621e-01	4.690e-01	8.959e-01	-3.540e-01	6.789e-01	2.439e-01	8.590e-01	2.904e+00	1.120e+00	1.344e-01	5.113e-01	1.097e+00	8.119e-01	2.026e-01	6.140e-01	-7.193e-01	2.635e-01	4.679e-01	7.374e-01	-2.009e-01	3.283e+00	1.039e-02	8.883e-02	-7.706e-01	5.887e-01	2.779e-01	7.593e-01	8.343e-01	2.600e-01	4.708e-01	7.157e-01	-1.943e-01	3.385e+00	9.274e-03	8.572e-02	1.113e+00	7.946e-01	2.074e-01	7.344e-01	2.813e+00	5.888e-01	2.778e-01	7.460e-01	2.861e+00	5.351e-02	7.436e-01	1.000e+00	-2.835e-02	9.693e-01	1.638e-01	8.743e-01
Ndufb3	2356	2356	4.894e-01	2.635e+00	2.652e-01	2.545e+00	4.143e-01	3.627e-01	7.176e-01	6.762e-01	1.901e-01	5.375e-01	9.096e-01	-7.304e-01	2.265e-01	5.009e-01	9.361e-01	-1.889e-01	1.155e+00	1.286e-01	5.113e-01	1.056e+00	3.913e-01	3.764e-01	7.157e-01	-4.125e-01	1.616e+00	7.218e-02	3.908e-01	-3.705e-01	3.327e-01	4.147e-01	6.179e-01	1.648e-01	7.007e-01	2.365e-01	7.593e-01	1.917e+00	1.134e-01	6.339e-01	8.141e-01	-1.087e-01	2.611e+00	2.230e-02	1.293e-01	7.021e-01	1.775e-01	5.513e-01	9.022e-01	2.717e-01	4.444e-01	3.458e-01	7.511e-01	-6.799e-01	3.274e-01	4.184e-01	9.033e-01	2.081e+00	1.878e+00	5.262e-02	8.743e-01
Nop58	452	452	1.253e-01	2.555e+00	3.091e-01	-1.398e+00	5.948e-01	2.754e-01	6.765e-01	-1.362e+00	3.244e-02	7.989e-01	1.000e+00	-1.817e-01	1.901e-01	5.375e-01	9.475e-01	2.199e+00	9.070e-01	1.780e-01	5.113e-01	2.380e+00	2.177e-01	5.094e-01	7.934e-01	5.849e-01	5.444e-01	2.967e-01	6.505e-01	4.876e-01	1.321e+00	1.041e-01	3.715e-01	-5.928e-01	2.900e-01	4.463e-01	8.341e-01	-6.995e-01	4.860e-01	3.242e-01	6.556e-01	-6.613e-01	2.590e-01	4.717e-01	6.611e-01	2.068e-01	3.536e-01	4.004e-01	8.420e-01	1.952e+00	4.424e-01	3.469e-01	7.511e-01	2.375e+00	2.679e-01	4.642e-01	9.177e-01	1.847e+00	5.162e-01	3.096e-01	8.923e-01
Nrp2	1037	1037	1.710e-01	8.860e-01	1.082e+00	6.013e-01	2.233e+00	3.458e-02	3.925e-01	1.901e+00	-2.025e-01	1.000e+00	1.000e+00	-1.007e+00	2.115e-01	5.154e-01	9.400e-01	4.105e+00	2.950e+00	1.514e-02	2.072e-01	-1.609e+00	1.706e+00	6.469e-02	5.531e-01	9.314e-01	3.317e+00	1.001e-02	1.630e-01	5.066e-01	2.835e-01	4.514e-01	6.433e-01	-1.881e-01	3.560e-01	3.988e-01	8.341e-01	-5.800e+00	2.436e-01	4.852e-01	7.236e-01	2.302e-01	4.363e+00	3.137e-03	4.664e-02	-5.767e-01	-6.989e-02	1.000e+00	1.000e+00	-4.884e-01	5.380e-01	2.996e-01	7.511e-01	3.930e+00	5.518e-02	7.397e-01	1.000e+00	-9.365e-01	7.578e-01	2.183e-01	8.743e-01
Eef1b2	4397	4397	6.584e-01	4.008e+00	1.904e-01	-1.724e+00	7.026e-01	2.359e-01	6.488e-01	-7.194e-01	1.487e-01	5.856e-01	9.314e-01	1.058e+00	2.328e-01	4.950e-01	9.301e-01	1.175e+00	2.355e+00	2.998e-02	3.052e-01	2.098e+00	6.003e-02	7.290e-01	9.268e-01	-7.338e-02	9.237e-01	1.741e-01	5.363e-01	-2.889e-01	3.531e-01	4.007e-01	6.117e-01	-1.866e-01	7.057e-01	2.348e-01	7.593e-01	1.324e+00	1.739e+00	6.220e-02	4.132e-01	-7.465e-01	2.254e+00	3.372e-02	1.593e-01	5.168e-01	1.050e-02	8.848e-01	1.000e+00	7.917e-01	6.385e-01	2.585e-01	7.385e-01	-9.893e-01	1.643e-01	5.664e-01	9.689e-01	1.152e+00	3.567e-01	3.983e-01	9.330e-01
